,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
movie_recommendation_chatbot_powered_by_kumo,Personalized Movie Recommendation Chatbot Powered by Kumo in Snowflake Native App,https://quickstarts.snowflake.com/guide/movie_recommendation_chatbot_powered_by_kumo/index.html,"Naisha Agarwal, Effy Fang","This guide will provide step-by-step details for building a personalized movie recommendation chatbot using Kumo in a Snowflake Native App, CortexAI and Streamlit.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Data Science,Apps & Collab: Commercialize,snowflake-site:taxonomy/snowflake-feature/commercialize,,data-engineer,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,Partner Integrations,,,,,,,,Published,"Mar 4, 2025","Mar 4, 2025","Naisha Agarwal, Effy Fang"
build-a-visual-idea-generator-with-text-to-image-models,Build a Visual Concept Idea Generator using a Text to Image AI Model,https://quickstarts.snowflake.com/guide/build-a-visual-idea-generator-with-text-to-image-models/index.html,Prabhath Nanisetty,A guide to building a visual concept/idea generator from unstructured data powered by Text2Image LLM models and Streamlit.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,"AI: Model Development, Apps & Collab: Build",snowflake-site:taxonomy/snowflake-feature/model-development,,App Development,AI - Cortex Analyst,snowflake-site:taxonomy/snowflake-feature/cortex-analyst,,Cortex,Data Science,ML,Streamlit,AI,,,,Published,"Mar 10, 2025","Mar 10, 2025",sfc-gh-pnanisetty
data_engineering_deploying_pipelines_with_snowflake_and_dbt_labs,Deploying Pipelines with Snowflake and dbt labs,https://quickstarts.snowflake.com/guide/data_engineering_deploying_pipelines_with_snowflake_and_dbt_labs/index.html,Dmytro Yaroshenko,This guide will provide step-by-step details for building and deploying data engineering pipelines with Snowflake and dbt labs,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,Notebooks,,,,,,,,,,,,Published,"Mar 12, 2025","Mar 12, 2025",sfc-gh-dyaroshenko
getting_started_with_snowflake_and_bigquery_via_iceberg,Getting Started with Snowflake and BigQuery via Iceberg,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_and_bigquery_via_iceberg/index.html,Matt Marzillo,This is a quickstart showing users how use iceberg with Snowflake and Big Query,Data-Sharing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,GCP,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,Iceberg,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,Big Query,Google,Open,Open Table Format,,,,,Published,"Mar 13, 2025","Mar 17, 2025",sfc-gh-mmarzillo
getting_started_with_llmops_using_snowflake_cortex_and_trulens,Getting Started with LLMOps using Snowflake Cortex and TruLens,https://quickstarts.snowflake.com/guide/getting_started_with_llmops_using_snowflake_cortex_and_trulens/index.html,Josh Reini,This is a guide for getting started with LLMOps using Snowflake Cortex and TruLens.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,,,,,,,,,,,,hidden,"Jul 29, 2024","Mar 25, 2025",sfc-gh-jreini
kafka_working_with_iceberg_tables,Intro to Kafka and Snowflake Managed Iceberg,https://quickstarts.snowflake.com/guide/kafka_working_with_iceberg_tables/index.html,Ashish Kumar,"Through this quickstart guide, you will explore how to ingest data from kafka to Iceberg tables.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Ingestion,snowflake-site:taxonomy/snowflake-feature/ingestion,,,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,,,,,,,,,Published,"Mar 25, 2025","Mar 25, 2025",sfc-gh-ashiskumar
data-products-data-mesh-dbt-cloud,Build Data Products and a Data Mesh with dbt Cloud,https://quickstarts.snowflake.com/guide/data-products-data-mesh-dbt-cloud/index.html,"Sean McIntyre, Doug Guthrie",Build Data Products and a Data Mesh with dbt Cloud,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,,,,,,,,,,,,,Published,"May 31, 2024","Apr 3, 2025",boxysean
getting-started-with-mediawallah-enrichment-native-app,Getting Started with MediaWallah Enrichment Application,https://quickstarts.snowflake.com/guide/getting-started-with-mediawallah-enrichment-native-app/index.html,Jeffrey Chen,This is a guide to use MediaWallah's Enrichment Application,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/seamless-and-secure-identity-and-audience-attribute-enrichment-powered-by-mediawallah-s-native-application/,Remove,snowflake-site:taxonomy/industry/advertising-media-and-entertainment,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Getting Started,,,,Data Science,,,,data-applications,,,,,,,,Published,"Apr 4, 2025","Apr 4, 2025",Jeffrey Chen
a_guide_to_kipi_marketing_mix_modelling_analytics_app,A Guide to Kipi Marketing Mix Modelling and Analytics App,https://quickstarts.snowflake.com/guide/a_guide_to_kipi_marketing_mix_modelling_analytics_app/index.html,Ritika Sharma,This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/getting-started-with-marketing-mix-modeling-mmm-via-a-native-app/,Remove,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,Apps & Collab: External Collaboration,snowflake-site:taxonomy/snowflake-feature/external-collaboration,,,"AI - Snowflake ML, Apps & Collab - Native Apps",,,,,,,,,,,Published,"Apr 7, 2025","Apr 7, 2025",RSharma-kipi
getting_started_with_ai_observability,Getting Started with AI Observability,https://quickstarts.snowflake.com/guide/getting_started_with_ai_observability/index.html,Josh Reini,This is a guide for getting started with Snowflake AI Observability.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,,,,,,,,,,,,Published,"Mar 25, 2025","Apr 8, 2025",sfc-gh-jreini
sf_esri_arcgis_locationservice,Interfacing with ArcGIS Location Services API using Snowpark,https://quickstarts.snowflake.com/guide/sf_esri_arcgis_locationservice/index.html,"Venkatesh Sekar, Jhonatan Garrido-Lecca","Calculate ISOChrone or ServiceArea using ArcGIS Location Services (API), natively in Snowflake.",ML,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Data Engineering,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,geospatial,,,,Partner Integrations,,,,,,,,Published,"Apr 8, 2025","Apr 8, 2025",sfc-gh-vsekar
integrating_fluentd_with_snowflake,Using Fluentd to Send Log Files to Snowflake for Security and Observability Analytics,https://quickstarts.snowflake.com/guide/integrating_fluentd_with_snowflake/index.html,Security Field CTO Team,Walkthrough of using Fluentd to send system event logs to Snowflake as a part of a SIEM or log analysis workload,Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Jun 23, 2023","Apr 10, 2025",sfc-gh-jberkowsky
visual_analytics_powered_by_snowflake_and_tableau,Visual Analytics Powered by Snowflake and Tableau Duration 60,https://quickstarts.snowflake.com/guide/visual_analytics_powered_by_snowflake_and_tableau/index.html,Chandra Nayak & Madeline Lee,Visual Analytics Powered by Snowflake and Tableau,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,,,,,,,,,,,,,,,,,Published,"May 20, 2022","Apr 16, 2025",sfc-gh-cnayak
power_apps_snowflake,Getting Started with Microsoft Power Platform and Snowflake Duration 45,https://quickstarts.snowflake.com/guide/power_apps_snowflake/index.html,chandra-snow,"This is a quickstart for using Microsoft Power Platform, Power Apps, Power Automate and Snowflake",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Data Engineering,,,,microsoft,,,,power-apps,power-platform,,,,,,,Published,"May 18, 2023","Apr 17, 2025",sfc-gh-cnayak
using_snowflake_cortex_and_streamlit_with_geospatial_data,Using Snowflake Cortex And Streamlit With Geospatial Data,https://quickstarts.snowflake.com/guide/using_snowflake_cortex_and_streamlit_with_geospatial_data/index.html,Becky O’Connor,This is a sample Snowflake Guide,Data-Sharing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,Cortex,AI: Unstructured Data Insights,snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,,Analytics - Geospatial,,,,,,,,,,,Published,"Aug 1, 2024","Apr 17, 2025",sfc-gh-boconnor
getting_started_with_microsoft_copilot_studio_and_cortex_agents,Getting Started with Microsoft Copilot Studio and Snowflake Cortex Agents,https://quickstarts.snowflake.com/guide/getting_started_with_microsoft_copilot_studio_and_cortex_agents/index.html,Matt Marzillo,This is a quickstart showing users how use Microsoft Copilot Studio with Snowflake Cortex Agents,AI,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Cortex,AI: Conversational Assistants,snowflake-site:taxonomy/snowflake-feature/ingestion/conversational-assistants,,Microsoft,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,Azure,Agents,Copilot,,,,,,Published,"Mar 17, 2025","Apr 17, 2025",sfc-gh-mmarzillo
insights-to-action-with-snowflake-and-servicenow,Insights to Action With Snowflake and ServiceNow,https://quickstarts.snowflake.com/guide/insights-to-action-with-snowflake-and-servicenow/index.html,N/A,insights-to-action-with-snowflake-and-servicenow,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Apr 17, 2025","Apr 17, 2025",sfc-gh-mmahadeshwar
orchestration-framework-running-multiple-containerized-jobs-parallel,Building Orchestration Framework for Running Containerized Jobs in Parallel,https://quickstarts.snowflake.com/guide/orchestration-framework-running-multiple-containerized-jobs-parallel/index.html,Phani Raj,Building custom orchestration framework for running containerized jobs in parallel,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Jan 9, 2025","Apr 18, 2025",sfc-gh-praj
auto_ingest_twitter_data,Auto Ingest Twitter Data into Snowflake,https://quickstarts.snowflake.com/guide/auto_ingest_twitter_data/index.html,N/A,Auto-Ingest Twitter Data into Snowflake,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,App Development,,,,,,,,Marketing,,,,,,,,Archived,"Mar 22, 2021","Apr 21, 2025",iamontheinet
recommendation_engine_aws_sagemaker,Build a Recommendation Engine with Amazon SageMaker,https://quickstarts.snowflake.com/guide/recommendation_engine_aws_sagemaker/index.html,N/A,Build a Recommendation Engine with AWS SageMaker and Snowflake,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"Data Engineering, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,ML,Partner,,,Partner Integrations,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,,,,,,,,,,Archived,"Mar 22, 2021","Apr 21, 2025",iamontheinet
data_science_with_dataiku,Accelerating Data Science with Snowflake and Dataiku,https://quickstarts.snowflake.com/guide/data_science_with_dataiku/index.html,N/A,Accelerating Data Science with Snowflake and Dataiku,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,ML,,,,,,,,,,,,Archived,"May 19, 2021","Apr 21, 2025",iamontheinet
machine_learning_with_saturncloud,Machine Learning on Unstructured Data with Saturn Cloud and Snowflake,https://quickstarts.snowflake.com/guide/machine_learning_with_saturncloud/index.html,N/A,Machine learning on unstructured data with Saturn Cloud and Snowflake,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Data Engineering,"AI: Model Development, Partner",snowflake-site:taxonomy/snowflake-feature/model-development,,Partner Integrations,,,,ML,,,,,,,,Archived,"Sep 1, 2021","Apr 21, 2025",iamontheinet
dota2_game_replay_parser,Dota2 game replay parser,https://quickstarts.snowflake.com/guide/dota2_game_replay_parser/index.html,Marius Ndini,Parse a Dota 2 game replay,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/gaming,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Archived,"Oct 5, 2021","Apr 21, 2025",iamontheinet
getting_started_external_functions_gcc,Getting Started With External Functions Using the Google Cloud Console,https://quickstarts.snowflake.com/guide/getting_started_external_functions_gcc/index.html,N/A,Getting Started With External Functions Using the Google Cloud Console,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,,,,,,,,,,,,,Archived,"Dec 14, 2021","Apr 21, 2025",iamontheinet
determining_warehouse_size,Determine Appropriate Warehouse Sizes,https://quickstarts.snowflake.com/guide/determining_warehouse_size/index.html,Lorena Diaconescu,Determine the best warehouse size to use for your query,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Archived,"Feb 24, 2022","Apr 21, 2025",iamontheinet
